=== GENERIC MODEL-DIFF AUDIT — 17778 docs constructed against their real model ===

DROPPED PATH (stored but NOT in schema)                         DOCS  SAMPLE VALUE
weapon . skill.useBrawn                                         3069  false
shipweapon . skill.useBrawn                                      992  false
vehicle . itemmodifier                                           448  []
vehicle . itemattachment                                         448  []
weapon . hardpoints.current                                      356  0
weapon . renderedDesc                                            356  {}
weapon . adjusteditemmodifier                                    356  [{"name":"Blast Quality","type":"i
specialization . collection.talent0.name                         303  "Intimidating"
specialization . collection.talent0.description                  303  "<p>May suffer a number of strain 
specialization . collection.talent0.activation                   303  "Active (Incidental, Out of Turn)"
specialization . collection.talent0.activationLabel              303  "SWFFG.TalentActivationsActiveInci
specialization . collection.talent0.isForceTalent                303  false
specialization . collection.talent0.isRanked                     303  true
specialization . collection.talent0.size                         303  "single"
specialization . collection.talent0.canLinkTop                   303  true
specialization . collection.talent0.canLinkRight                 303  true
specialization . collection.talent0.itemId                       303  "OTgbuPFzv6MzvHED"
specialization . collection.talent0.pack                         303  "yehors-sw-ffg-shared-data.yn-tale
specialization . collection.talent0.cost                         303  5
specialization . collection.talent0.visible                      303  true
specialization . collection.talent0.canSplit                     303  false
specialization . collection.talent0.canCombine                   303  true
specialization . collection.talent0.islearned                    303  false
specialization . collection.talent0.links-top-1                  303  false
specialization . collection.talent0.links-right                  303  false
specialization . collection.talent1.name                         303  "Grit"
specialization . collection.talent1.description                  303  "<p>Gain +1 strain threshold</p>"
specialization . collection.talent1.activation                   303  "Passive"
specialization . collection.talent1.activationLabel              303  "SWFFG.TalentActivationsPassive"
specialization . collection.talent1.isForceTalent                303  false
specialization . collection.talent1.<id>                         303  false
specialization . collection.talent1.isRanked                     303  true
specialization . collection.talent1.size                         303  "single"
specialization . collection.talent1.canLinkTop                   303  true
specialization . collection.talent1.canLinkRight                 303  true
specialization . collection.talent1.itemId                       303  "qzWP4mptX5ahJtDM"
specialization . collection.talent1.pack                         303  "yehors-sw-ffg-shared-data.yn-tale
specialization . collection.talent1.cost                         303  5
specialization . collection.talent1.visible                      303  true
specialization . collection.talent1.canSplit                     303  false
specialization . collection.talent1.canCombine                   303  true
specialization . collection.talent1.islearned                    303  false
specialization . collection.talent1.links-top-1                  303  false
specialization . collection.talent1.links-right                  303  false
specialization . collection.talent2.name                         303  "Surgeon"
specialization . collection.talent2.description                  303  "<p>When making a Medicine check t
specialization . collection.talent2.activation                   303  "Passive"
specialization . collection.talent2.activationLabel              303  "SWFFG.TalentActivationsPassive"
specialization . collection.talent2.isForceTalent                303  false
specialization . collection.talent2.isRanked                     303  true
specialization . collection.talent2.size                         303  "single"
specialization . collection.talent2.canLinkTop                   303  true
specialization . collection.talent2.canLinkRight                 303  true
specialization . collection.talent2.itemId                       303  "l8mfpMuipsR2GUpT"
specialization . collection.talent2.pack                         303  "yehors-sw-ffg-shared-data.yn-tale
specialization . collection.talent2.cost                         303  5
specialization . collection.talent2.visible                      303  true
specialization . collection.talent2.canSplit                     303  false
specialization . collection.talent2.canCombine                   303  true
specialization . collection.talent2.islearned                    303  false
specialization . collection.talent2.links-top-1                  303  false
specialization . collection.talent2.links-right                  303  false
specialization . collection.talent3.name                         303  "Nobody's Fool"
specialization . collection.talent3.description                  303  "<p>The difficulty of any&nbsp;Cha
specialization . collection.talent3.activation                   303  "Passive"
specialization . collection.talent3.activationLabel              303  "SWFFG.TalentActivationsPassive"
specialization . collection.talent3.isForceTalent                303  false
specialization . collection.talent3.<id>                         303  false
specialization . collection.talent3.isRanked                     303  true
specialization . collection.talent3.size                         303  "single"
specialization . collection.talent3.canLinkTop                   303  true
specialization . collection.talent3.canLinkRight                 303  false
specialization . collection.talent3.itemId                       303  "6SK6hvMqllrrmcVh"
specialization . collection.talent3.pack                         303  "yehors-sw-ffg-shared-data.yn-tale
specialization . collection.talent3.cost                         303  5
specialization . collection.talent3.visible                      303  true
specialization . collection.talent3.canSplit                     303  false
specialization . collection.talent3.canCombine                   303  false
specialization . collection.talent3.islearned                    303  false
specialization . collection.talent3.links-top-1                  303  false
specialization . collection.talent3.links-right                  303  false
specialization . collection.talent4.name                         303  "Bad Cop"
specialization . collection.talent4.description                  303  "<p>May spend [AD][AD] from a Dece
specialization . collection.talent4.activation                   303  "Passive"
specialization . collection.talent4.activationLabel              303  "SWFFG.TalentActivationsPassive"
specialization . collection.talent4.isForceTalent                303  false
specialization . collection.talent4.isRanked                     303  true
specialization . collection.talent4.size                         303  "single"
specialization . collection.talent4.canLinkTop                   303  true
specialization . collection.talent4.canLinkRight                 303  true
specialization . collection.talent4.itemId                       303  "r8B069QlTKspJdeV"
specialization . collection.talent4.links-top-1                  303  true
specialization . collection.talent4.links-right                  303  true
specialization . collection.talent4.pack                         303  "yehors-sw-ffg-shared-data.yn-tale
specialization . collection.talent4.cost                         303  10
specialization . collection.talent4.visible                      303  true
specialization . collection.talent4.canSplit                     303  false
specialization . collection.talent4.canCombine                   303  true
specialization . collection.talent4.islearned                    303  false
specialization . collection.talent5.name                         303  "Grit"
specialization . collection.talent5.description                  303  "<p>Gain +1 strain threshold</p>"
specialization . collection.talent5.activation                   303  "Passive"
specialization . collection.talent5.activationLabel              303  "SWFFG.TalentActivationsPassive"
specialization . collection.talent5.isForceTalent                303  false
specialization . collection.talent5.<id>                         303  false
specialization . collection.talent5.isRanked                     303  true
specialization . collection.talent5.size                         303  "single"
specialization . collection.talent5.canLinkTop                   303  true
specialization . collection.talent5.canLinkRight                 303  true
specialization . collection.talent5.itemId                       303  "qzWP4mptX5ahJtDM"
specialization . collection.talent5.links-right                  303  true
specialization . collection.talent5.pack                         303  "yehors-sw-ffg-shared-data.yn-tale
specialization . collection.talent5.cost                         303  10
specialization . collection.talent5.visible                      303  true
specialization . collection.talent5.canSplit                     303  false
specialization . collection.talent5.canCombine                   303  true
specialization . collection.talent5.islearned                    303  false
specialization . collection.talent5.links-top-1                  303  false
specialization . collection.talent6.name                         303  "Surgeon"
specialization . collection.talent6.description                  303  "<p>When making a Medicine check t
specialization . collection.talent6.activation                   303  "Passive"
specialization . collection.talent6.activationLabel              303  "SWFFG.TalentActivationsPassive"
specialization . collection.talent6.isForceTalent                303  false
specialization . collection.talent6.<id>                         303  false
specialization . collection.talent6.isRanked                     303  true
specialization . collection.talent6.size                         303  "single"
specialization . collection.talent6.canLinkTop                   303  true
specialization . collection.talent6.canLinkRight                 303  true
specialization . collection.talent6.itemId                       303  "l8mfpMuipsR2GUpT"
specialization . collection.talent6.links-right                  303  true
specialization . collection.talent6.pack                         303  "yehors-sw-ffg-shared-data.yn-tale
specialization . collection.talent6.cost                         303  10
specialization . collection.talent6.visible                      303  true
specialization . collection.talent6.canSplit                     303  false
specialization . collection.talent6.canCombine                   303  true
specialization . collection.talent6.islearned                    303  false
specialization . collection.talent6.links-top-1                  303  false
specialization . collection.talent7.name                         303  "Good Cop"
specialization . collection.talent7.description                  303  "<p>May spend [AD][AD] from a Char
specialization . collection.talent7.activation                   303  "Passive"
specialization . collection.talent7.activationLabel              303  "SWFFG.TalentActivationsPassive"
specialization . collection.talent7.isForceTalent                303  false
specialization . collection.talent7.<id>                         303  false
specialization . collection.talent7.isRanked                     303  true
specialization . collection.talent7.size                         303  "single"
specialization . collection.talent7.canLinkTop                   303  true
specialization . collection.talent7.canLinkRight                 303  false
specialization . collection.talent7.itemId                       303  "IyZjVYWBvU1Kaoo2"
specialization . collection.talent7.links-top-1                  303  true
specialization . collection.talent7.pack                         303  "yehors-sw-ffg-shared-data.yn-tale
specialization . collection.talent7.cost                         303  10
specialization . collection.talent7.visible                      303  true
specialization . collection.talent7.canSplit                     303  false
specialization . collection.talent7.canCombine                   303  false
specialization . collection.talent7.islearned                    303  false
specialization . collection.talent7.links-right                  303  false
specialization . collection.talent8.name                         303  "Resist Questioning"
specialization . collection.talent8.description                  303  "<p>When targeted by an opposed so
specialization . collection.talent8.activation                   303  "Active (Incidental, Out of Turn)"
specialization . collection.talent8.activationLabel              303  "SWFFG.TalentActivationsActiveInci
specialization . collection.talent8.isForceTalent                303  false
specialization . collection.talent8.isRanked                     303  false
specialization . collection.talent8.size                         303  "single"
specialization . collection.talent8.canLinkTop                   303  true
specialization . collection.talent8.canLinkRight                 303  true
specialization . collection.talent8.itemId                       303  "iZyQCJAssORkAPcO"
specialization . collection.talent8.links-top-1                  303  true
specialization . collection.talent8.links-right                  303  true
specialization . collection.talent8.pack                         303  "yehors-sw-ffg-shared-data.yn-tale
specialization . collection.talent8.cost                         303  15
specialization . collection.talent8.visible                      303  true
specialization . collection.talent8.canSplit                     303  false
specialization . collection.talent8.canCombine                   303  true
specialization . collection.talent8.islearned                    303  false
specialization . collection.talent9.name                         303  "Bad Cop"
specialization . collection.talent9.description                  303  "<p>May spend [AD][AD] from a Dece
specialization . collection.talent9.activation                   303  "Passive"
specialization . collection.talent9.activationLabel              303  "SWFFG.TalentActivationsPassive"
specialization . collection.talent9.isForceTalent                303  false
specialization . collection.talent9.isRanked                     303  true
specialization . collection.talent9.size                         303  "single"
specialization . collection.talent9.canLinkTop                   303  true
specialization . collection.talent9.canLinkRight                 303  true
specialization . collection.talent9.itemId                       303  "r8B069QlTKspJdeV"
specialization . collection.talent9.links-top-1                  303  true
specialization . collection.talent9.pack                         303  "yehors-sw-ffg-shared-data.yn-tale
specialization . collection.talent9.cost                         303  15
specialization . collection.talent9.visible                      303  true
specialization . collection.talent9.canSplit                     303  false
specialization . collection.talent9.canCombine                   303  true
specialization . collection.talent9.islearned                    303  false
specialization . collection.talent9.links-right                  303  false
specialization . collection.talent10.name                        303  "Nobody's Fool"
specialization . collection.talent10.description                 303  "<p>The difficulty of any&nbsp;Cha
specialization . collection.talent10.activation                  303  "Passive"
specialization . collection.talent10.activationLabel             303  "SWFFG.TalentActivationsPassive"
specialization . collection.talent10.isForceTalent               303  false
specialization . collection.talent10.isRanked                    303  true
specialization . collection.talent10.size                        303  "single"
specialization . collection.talent10.canLinkTop                  303  true
specialization . collection.talent10.canLinkRight                303  true
specialization . collection.talent10.itemId                      303  "6SK6hvMqllrrmcVh"
specialization . collection.talent10.pack                        303  "yehors-sw-ffg-shared-data.yn-tale
specialization . collection.talent10.cost                        303  15
specialization . collection.talent10.visible                     303  true
specialization . collection.talent10.canSplit                    303  false
specialization . collection.talent10.canCombine                  303  true
specialization . collection.talent10.islearned                   303  false
specialization . collection.talent10.links-top-1                 303  false
specialization . collection.talent10.links-right                 303  false
specialization . collection.talent11.name                        303  "Know Their Weakness"
specialization . collection.talent11.description                 303  "<p>Once per session, may perform 
specialization . collection.talent11.activation                  303  "Active (Action)"
specialization . collection.talent11.activationLabel             303  "SWFFG.TalentActivationsActiveActi
specialization . collection.talent11.isForceTalent               303  false
specialization . collection.talent11.isRanked                    303  true
specialization . collection.talent11.size                        303  "single"
specialization . collection.talent11.canLinkTop                  303  true
specialization . collection.talent11.canLinkRight                303  false
specialization . collection.talent11.itemId                      303  "NqP1p0uIQLFuJm4Q"
specialization . collection.talent11.links-top-1                 303  true
specialization . collection.talent11.pack                        303  "yehors-sw-ffg-shared-data.yn-tale
specialization . collection.talent11.cost                        303  15
specialization . collection.talent11.visible                     303  true
specialization . collection.talent11.canSplit                    303  false
specialization . collection.talent11.canCombine                  303  false
specialization . collection.talent11.islearned                   303  false
specialization . collection.talent11.links-right                 303  false
specialization . collection.talent12.name                        303  "Resist Questioning"
specialization . collection.talent12.description                 303  "<p>When targeted by an opposed so
specialization . collection.talent12.activation                  303  "Active (Incidental, Out of Turn)"
